timestamp,entry,exit,pnl(%),direction,hit,balance,liquidated
1745495220000,92491.2,92664.4,1.3089158752399757,long,True,1001.31,False
1745495280000,92500.4,92650.01,0.9260976168751797,long,True,1002.24,False
1745496300000,92494.29,92682.08,1.5454312368905394,long,True,1003.78,False
1745496360000,92505.0,92682.91,1.3848710880493513,long,True,1005.17,False
1745496420000,92500.01,92612.56,0.3251349378232972,long,True,1005.49,False
1745496480000,92447.18,92637.14,1.582192447622628,long,True,1007.07,False
1745496600000,92464.58,92603.87,0.759622008773418,long,True,1007.83,False
1745496660000,92478.26,92573.98,0.05258111473985087,long,True,1007.88,False
1745496720000,92496.27,92587.13,-0.026535178121227243,long,False,1007.86,False
1745496780000,92560.4,92528.97,-2.0093430884048633,long,False,1005.85,False
1745496960000,92569.69,92663.17,0.01475067054879282,long,True,1005.86,False
1745497440000,92572.01,92708.53,0.7121157356311711,long,True,1006.58,False
1745497560000,92573.98,92681.35,0.23974371632304087,long,True,1006.82,False
1745497680000,92528.97,92684.77,1.0256954659714075,long,True,1007.84,False
1745497800000,92547.17,92623.26,-0.2667370055724582,long,False,1007.57,False
1745498460000,92681.35,92755.57,-0.2987874583181866,long,False,1007.28,False
1745498520000,92672.73,92741.84,-0.3813861423959252,long,False,1006.89,False
1745498700000,92623.26,92763.85,0.7768039043326331,long,True,1007.67,False
1745498760000,92628.71,92750.01,0.4642937918490124,long,True,1008.14,False
1745498820000,92623.92,92745.71,0.47233068952396134,long,True,1008.61,False
1745500020000,92767.61,92769.85,-1.4637804617365064,long,False,1007.14,False
1745500080000,92794.33,92751.24,-2.196540402845678,long,False,1004.95,False
1745500140000,92766.23,92759.73,-1.6051029022091334,long,False,1003.34,False
1745500200000,92788.5,92728.92,-2.4631581499862873,long,False,1000.88,False
1745500260000,92766.73,92733.26,-2.041196181001548,long,False,998.84,False
1745500320000,92745.99,92721.23,-1.900448580041185,long,False,996.94,False
1745500380000,92703.15,92729.34,-1.076227992252653,long,False,995.86,False
1745500440000,92739.14,92739.14,-1.5,long,False,994.36,False
1745500500000,92748.65,92824.49,-0.27345923633371927,long,False,994.09,False
1745503800000,92944.96,92651.34,-6.238610894017437,long,False,987.85,False
1745503860000,92881.84,92667.4,-4.963109688610858,long,False,982.89,False
1745503980000,92893.99,92822.14,-2.660193463538478,long,False,980.23,False
1745504100000,92912.61,92888.01,-1.89714738397736,long,False,978.33,False
1745504160000,92893.5,92857.15,-2.0869624893023593,long,False,976.24,False
1745504220000,92900.64,92860.56,-2.1471430121471995,long,False,974.09,False
1745504280000,92903.81,92845.02,-2.449207572864777,long,False,971.65,False
1745505420000,92995.0,93244.1,2.517957954728843,long,True,974.16,False
1745505540000,93016.91,93248.6,2.2362561280524527,long,True,976.4,False
1745505900000,93000.0,93020.23,-1.1737096774194207,long,False,975.23,False
1745505960000,93031.94,93019.64,-1.6983189859311154,long,False,973.53,False
1745506020000,93013.07,93031.06,-1.2098794825287884,long,False,972.32,False
1745506800000,93020.23,93369.5,4.132161950147899,long,True,976.45,False
1745506860000,93019.64,93331.02,3.5211976739536617,long,True,979.97,False
1745506920000,93031.06,93251.42,2.0530069204844157,long,True,982.02,False
1745508180000,93240.0,93319.11,-0.22731660231659306,long,False,981.8,False
1745508240000,93226.47,93293.27,-0.4251979614802066,long,False,981.37,False
